序号,标题,BV号,AV号,UP主,UID,分区,时长,发布时间,播放量,点赞,收藏,弹幕,评论,标签,简介,封面
1030,从1块泥巴到上亿天价！非遗汝瓷如何点土成“金”？,BV1rsjmzbEWd,114574342757495,影视飓风,946974,手工,12:5,2025-05-28 17:00,2948282,168993,39702,32794,3557,"碧蓝航线,汝瓷,4K,拍摄,匠人,制作,非遗,碧蓝航线8周年,非物质文化遗产",这些看似不起眼的泥巴和石头，经过巧妙的加工，竟然可能卖出上亿元的天价。作为瓷器的一种，为什么“它”这么值钱？这次我们和@碧蓝航线  一拍即合，前往河南汝州，想带你一起来看看这门传承了千年的中国手艺——汝瓷。如果你喜欢这期视频，请多多支持我们，并把视频分享给你的朋友们一起看看!,https://i0.hdslb.com/bfs/archive/de6649ac16c7c62fab9774d44b60a36965bf8592.jpg
1031,【超燃】中国非遗超燃混剪,BV1a1keYbEF2,113695099261522,万川嘉心,1970823994,影视剪辑,5:25,2024-12-22 14:44,43569,522,935,1,71,"非遗文化分享官,非遗,传统文化,中国,人文历史档案馆2.0",-,https://i0.hdslb.com/bfs/archive/8ee2d7ef1efc6aa7d7727e5abbe06bb3a52eb859.jpg
1032,这个杯子浑身是孔，却滴水不漏,BV1jm84zcExE,114919047503711,江寻千,1895195099,影视剪辑,8:57,2025-07-26 18:28,8061674,297315,157059,4390,3837,"瓷器,传统文化,陶瓷,玲珑瓷,手工,非遗,寻找100位非遗手艺人",,https://i1.hdslb.com/bfs/archive/d3717a4ab06941d7e11769fe1a7e10133677d782.jpg
1033,老祖宗：不管了！好歹非遗传下来了！,BV1sjwez4ENA,116249463881838,料理小咪,18237423,颜值·网红舞,0:36,2026-03-18 17:29,13199,2076,653,122,67,"川剧摇,四时少女,火苗dj,葛仙村,古风","我们来葛仙村玩啦！好好玩！下次还来～
从左到右出境：
玉玲珑：小水泡汤
汉服：西海岸红杉
胡桃：料理小咪
大乔：十元酱少女",https://i2.hdslb.com/bfs/archive/59308324aa32767546f15be431472416fb28151a.jpg
1034,笑不中了！贾旭明老师号都没了，圆桌也没整清楚，又跑到非遗相声大会说相声了哈哈哈哈哈哈，网友：“相声这个行业危险系数这么高吗”哈哈哈哈或许是贾老师危险系数高？,BV1K8NMzYEmj,116192387795647,又一次嗑到了,3546939108886611,娱乐粉丝创作,22:12,2026-03-08 15:37,163503,3921,1214,998,330,"相声,爆笑,搞笑,贾局,段子,贾旭明,讽刺,小品,最新",-,https://i0.hdslb.com/bfs/archive/23c1efe6437884d6ea193d2b052293322e74de66.jpg
1035,"贾旭明郑健相声《贾诗人》高清字幕版,贾旭明非遗相声春晚作品，搞笑不断！",BV1yBPoztEG3,116201934098540,相声茶馆,25375697,搞笑,22:12,2026-03-10 11:05,12543,150,72,19,16,"非遗相声,贾旭明相声,郑健,搞笑相声,非遗,相声小品,贾旭明,相声,春晚,搞笑","贾旭明郑健相声《贾诗人》高清字幕版,贾旭明非遗相声春晚作品，搞笑不断！",https://i1.hdslb.com/bfs/archive/32b9839ce3dd1a1fac4cbb5be6083dddea99bffa.jpg
1036,【央视】综合频道CCTV-1《非遗里的中国》（第一季）,BV1AN411M7VY,493763285,八神逸枫,10289419,综艺,1086:50,2023-11-25 18:26,333808,3674,14407,1972,114,"非遗,人文,文化","https://tv.cctv.com/2022/12/30/VIDAIxSnFuJtsqzH4HZK9Yc4221230.shtml
《非遗里的中国》通过非遗创新秀演、沉浸体验、还原绝技等全新的方式来打开非遗，多维度呈现非遗的创新成果、历史底蕴、中国智慧、东方美学。节目展现非遗在新时代迸发出的焕新力量，呈现非遗时光流变中的一脉相承与继往开来。",https://i0.hdslb.com/bfs/archive/8268536bcc5c0b6c21c2dc540a25c7aad0559223.png
1037,东巴纸,BV1ozw4ztEqm,116228106551729,归乡人山白,3494349557992101,手工,8:10,2026-03-14 23:02,677365,98033,9908,1849,1113,"寻找100位非遗手艺人,东巴纸,纳西族,手工纸,手工艺,手工,原创",纸寿千年，纳西族手工造纸。,https://i1.hdslb.com/bfs/archive/62ed064b30e48ab8740683535ec2a4640da5791a.jpg
1038,中国的42项世界非遗项目 你都知道吗？,BV1NK411G7rv,500654333,中新视频,104092224,社会,4:38,2020-12-19 15:11,28939,680,801,21,38,"世界非遗项目,中国",12月17日晚，中国单独申报的“太极拳”、与马来西亚联合申报的“送王船——有关人与海洋可持续联系的仪式及相关实践”两个项目，经联合国教科文组织保护非物质文化遗产政府间委员会评审通过，列入联合国教科文组织人类非物质文化遗产代表作名录。那么，你知道中国的世界非物质文化遗产项目有多少个？有哪些？快跟我一起增长知识吧！,https://i2.hdslb.com/bfs/archive/f2e9d4d1134718bada898f5f9cce68245e4c7592.jpg
1039,【大学生纪录短片/非遗/剪纸/原创】纸下的时间旅行者【高清1080P】万物理论拯救传统文化,BV1xs411y7CG,5301655,暗海见雪生,25005818,小剧场,15:39,2016-07-12 14:20,390083,7508,12177,347,198,"传统文化,传承,纪录片,冯骥才,万物理论",以乡村七十多岁民间剪纸艺人几十年扎根于民间文化为起点，伴随着生活在城市却致力于剪纸的保护与创新的艺术家郭梅花的故事进行交叉叙事，串起剪纸的历史与发展，民俗与文化。,https://i1.hdslb.com/bfs/archive/36284d6e91d13a830b61de8ac73cc367a4f1f2d7.jpg
